RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,RAND_A_slot1,RAND_A_slot2,RAND_A_slot3,RAND_A_slot4,RAND_A_slot5,RAND_A_slot6,RAND_A_slot7,RAND_A_slot8,RAND_A_slot9,RAND_A_slot10,RAND_A_slot11,RAND_A_slot12,RAND_A_slot13,RAND_A_slot14,RAND_A_slot15,RAND_A_slot16,RAND_A_slot17,RAND_A_slot18,RAND_A_slot19,RAND_A_slot20,RAND_A_slot21,RAND_A_slot22,RAND_A_slot23,RAND_A_slot24,RAND_A_slot25,RAND_A_slot26,RAND_A_slot27,RAND_A_slot28,RAND_A_slot29,RAND_A_slot30,RAND_A_slot31,RAND_A_slot32,q20,q21,q24,q15,q14,q16,q17
41,2,10,de4.752.3.6,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,854ff383cc096764c2eb0926975b7f28,1584316097.55404,1909.779,CSR_preferences,,16,2,17,15,24,22,4,8,18,1,27,20,32,10,5,28,30,26,19,3,25,21,6,29,14,23,13,12,9,31,11,7,,,,,,,
43,2,10,de4.74.62.1,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,79fd042e9e7623edd4d10b2433fabf4a,1584316189.81838,1817.528,CSR_preferences,,29,8,9,14,2,21,22,6,12,31,1,30,24,28,17,3,20,32,25,5,13,27,7,18,26,4,16,10,23,11,19,15,,,,,,,
47,2,10,8cb48.3.2.5,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,6179b11a3f0c388e3cb5feccb138423c,1584316231.55318,1840.621,CSR_preferences,,4,16,7,31,12,20,14,28,15,5,21,24,1,2,6,11,29,26,9,32,27,25,3,18,19,10,22,23,13,8,17,30,,,,,,,
46,2,10,968.5a.c2.6,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,31950848afec8bbe1e71a06f7277d47c,1584316212.25567,1859.933,CSR_preferences,,21,14,31,20,22,18,17,3,15,12,1,8,19,25,6,24,28,16,29,10,30,5,32,2,11,27,7,4,9,26,13,23,,,,,,,
48,2,10,8.f41.826.7,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,cec4984f5819b660d7d51cde59d72d09,1584316377.63764,1841.123,CSR_preferences,,30,3,15,17,26,10,24,11,19,22,27,6,8,25,1,13,20,4,2,23,16,28,29,5,32,14,7,21,31,18,9,12,,,,,,,
50,2,10,924.3d.30.7,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR3j_LBROZAUY0DpXp1RqKlh3RMHY8Rl6EPfKesDARKq6tOGtYrM10DqRAo;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,4fa66039734e52a491b7d18662dd3bab,1584316382.13111,1836.646,CSR_preferences,,27,15,20,31,1,18,11,7,26,19,30,6,29,16,17,28,25,8,22,32,21,10,12,24,5,3,23,4,2,14,9,13,,,,,,,
49,2,10,e454.07.f.3,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,0e3b7f4e8d8efee25d5f40ced6a4b980,1584316380.19918,1838.596,CSR_preferences,,16,26,2,19,27,23,18,7,20,10,17,15,24,21,5,25,29,12,8,11,1,32,6,9,4,31,3,30,28,22,14,13,,,,,,,
51,2,10,8f.4182.6.7,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,2dc9eec2bc9b6ca9c089897e92dad640,1584316877.28845,1868.677,CSR_preferences,,4,20,27,18,25,7,14,6,29,9,12,13,32,31,24,28,5,10,23,22,16,2,19,17,21,26,30,1,11,8,15,3,,,,,,,
52,2,10,92.43d.30.7,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR3j_LBROZAUY0DpXp1RqKlh3RMHY8Rl6EPfKesDARKq6tOGtYrM10DqRAo;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,41dbb5cf00c3e71c8813aaae283851ce,1584316982.45256,1841.511,CSR_preferences,,11,7,9,23,25,6,21,30,5,2,29,31,32,28,14,3,1,20,17,13,22,19,8,12,24,18,26,4,15,27,10,16,,,,,,,
53,2,10,e.45.4148.8,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,92f50aacdb4bd27446fe90a659fbc6b8,1584317195.49404,1890.239,CSR_preferences,,30,6,4,28,11,16,8,21,17,27,23,18,1,29,15,31,2,10,5,13,26,12,19,20,24,25,32,7,9,3,22,14,,,,,,,
56,2,10,e454.1.48.8,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,9647934032601ad358bdafd7368f85c5,1584317689.05056,1878.293,CSR_preferences,,24,12,3,10,5,30,20,23,15,18,32,17,14,22,4,29,19,16,13,9,26,2,1,21,6,28,8,11,27,7,25,31,,,,,,,
60,2,10,92.52b.c0.6,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,d3e159cae576479619188d42e358a7f2,1584317937.48981,1930.361,CSR_preferences,,10,25,6,2,5,32,13,19,7,30,3,15,11,28,9,27,18,29,1,4,21,26,24,14,23,17,16,22,20,31,8,12,,,,,,,
61,2,10,925.2.bc0.6,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,37cc0c33b02f689b5d10e03b61396f0b,1584317937.50389,1930.361,CSR_preferences,,6,27,2,8,30,24,20,7,14,12,15,17,11,16,10,3,9,26,25,22,18,28,5,23,32,1,4,21,19,29,31,13,,,,,,,
62,2,10,925.2bc.0.6,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,d78a2b9434ea659488a9986a0938a4f7,1584317949.38625,1918.492,CSR_preferences,,6,3,32,31,7,16,13,26,22,11,21,9,30,29,5,14,17,20,19,15,4,12,28,25,23,18,1,24,10,8,27,2,,,,,,,
59,2,10,9252b.c.0.6,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,df10100ed4247201532a68867c29009d,1584317920.57329,1947.319,CSR_preferences,,6,17,9,22,23,19,31,26,20,4,25,18,14,8,7,11,21,1,29,5,27,28,13,12,15,32,2,3,10,24,16,30,,,,,,,
64,2,10,e4.54.05f.8,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,ef096c9888bce9122a29ede66c7bfbb2,1584319968.96711,4033.107,CSR_preferences,,11,20,28,6,12,22,29,8,21,23,5,24,15,13,17,1,26,32,19,14,27,25,10,3,2,9,18,16,4,7,30,31,,,,,,,
65,2,10,a.c84f.32.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,c9e0b9bc1d777b17c33d3dd4c026fce6,1584338803.02145,3199.692,CSR_preferences,,32,11,22,30,16,23,18,27,25,1,7,3,19,21,13,5,26,9,24,17,12,14,8,20,2,31,15,10,28,4,6,29,,,,,,,
66,2,10,a.c84.f32.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,f750b78c817db2174db5d85db6a7bb31,1584338818.04128,3184.69,CSR_preferences,,21,6,11,29,12,22,30,27,10,9,24,2,16,28,19,13,32,7,14,1,5,8,25,31,26,4,18,17,15,3,23,20,,,,,,,
68,2,10,e4.65.0e7.4,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,2039332da1a36cb3183560da7d74c476,1584346227.59487,2974.458,CSR_preferences,,13,3,14,24,17,8,2,22,9,30,16,27,10,4,6,21,19,26,12,31,29,32,7,28,20,23,5,11,25,1,15,18,,,,,,,
67,2,10,e46.50.e7.4,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,875891d4eb7f0a2cd6c844b8bef7133a,1584346185.45644,3016.614,CSR_preferences,,18,31,9,22,23,27,6,21,25,10,19,7,13,17,24,28,11,4,12,5,8,26,30,14,3,32,2,20,16,1,29,15,,,,,,,
70,2,10,980c.01.4.4,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,92faea5b434364c8d09a5f13c379443d,1584347627.38825,5175.116,CSR_preferences,,26,31,14,8,30,3,29,25,19,10,7,17,11,2,27,4,21,18,13,5,15,9,22,32,6,12,28,23,16,24,20,1,,,,,,,
72,2,10,924.f.d93.a,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,e6a5d5b26a941be801f95bcaf8c43f1d,1584349705.64683,3096.872,CSR_preferences,,32,10,23,4,19,26,16,24,8,7,17,14,11,5,22,2,30,9,3,21,29,13,25,28,15,27,6,1,12,20,18,31,,,,,,,
71,2,10,98.0.c014.4,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,47803952e3a20beb1e6a653582d1c574,1584347627.38884,5175.142,CSR_preferences,,8,20,2,24,15,29,14,9,30,13,4,17,23,18,25,16,32,28,10,3,19,21,26,11,27,7,1,6,12,5,31,22,,,,,,,
69,2,10,9.80c0.14.4,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,79a01e070036d75137cea31e3df47706,1584347627.38389,5175.159,CSR_preferences,,2,23,26,1,16,18,24,19,32,15,11,27,3,4,13,12,30,10,29,21,8,14,31,25,22,7,5,17,20,6,9,28,,,,,,,
73,2,10,9e7b.36.2.b,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,6023238f836bbdbaa70fcb535cc28b91,1584355027.47945,4975.357,CSR_preferences,,8,11,22,18,25,15,26,21,9,14,23,4,3,31,28,27,20,6,16,13,19,5,12,10,2,17,7,1,24,29,30,32,,,,,,,
75,2,10,980.8a4.2.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,44355d1c6676c90e87e442c2c1527eb8,1584359735.55787,3704.058,CSR_preferences,,9,26,14,2,18,3,1,16,31,22,12,6,7,8,21,19,25,11,27,24,28,17,20,4,10,23,15,30,5,32,29,13,,,,,,,
74,2,10,9.808.a42.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,970e87a5a4bd9e5b3e609e9febd84f97,1584359663.09707,3776.534,CSR_preferences,,10,15,28,25,31,2,32,4,20,7,12,30,3,29,8,13,26,9,22,6,19,17,23,11,18,5,16,24,14,1,27,21,,,,,,,
82,3,7,e45.40.7f.3,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR21-Go2TwS_EmwCJH5AR3Rkl3VD19l1aTj8zvjo_W3K633rEsy_NRnbhos;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,3f46e9934f91213b12162e75f9ee2362,1584364903.93699,363.259,CSR_preferences,,13,10,4,18,29,9,2,11,8,1,28,6,32,26,15,21,14,20,5,22,24,7,17,19,12,31,30,27,25,23,3,16,3,2,8,1,2,6,4
77,2,7,e46.52.86.a,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,d08faad7c5039cae1a84985245651e20,1584364412.76265,1073.754,CSR_preferences,,13,3,20,26,10,6,24,21,4,2,15,11,25,5,27,17,30,23,12,1,22,16,19,29,14,28,8,31,7,32,18,9,2,3,4,1,2,1,4
76,2,10,9808.a.42.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR2lMBrNZTLtYqBW_-LOfGKPPbLpy-QciamJLW2-rQNria3Rfw2WtdZncFw;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,9ab24a4f703d9385f973ab653c0e9a72,1584363562.92679,1934.767,CSR_preferences,,12,17,11,18,13,9,26,24,1,23,15,20,3,6,16,25,29,5,31,27,28,4,8,32,22,2,19,7,14,30,21,10,,,,,,,
78,2,7,92.43.d30.7,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR3xgY1aYdfQYb38bmpFOaOp8xy26ihnwyvifxC1WQVdMZHi4JMDvU0Xx7U;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,f723e644eca09d758238f8fcdde2ea0f,1584364525.10684,1580.696,CSR_preferences,,31,18,28,19,17,25,3,12,24,23,5,22,26,30,15,13,9,2,6,10,32,4,7,16,11,21,8,1,14,29,27,20,2,3,4,3,1,1,4
86,3,7,92.4c8.b6.c,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,017a548b13094aec54a25cbe04724dd5,1584365904.53479,614.252,CSR_preferences,,17,18,4,29,22,21,13,1,27,19,6,24,12,25,28,2,16,15,20,14,23,26,31,11,10,8,9,32,7,30,3,5,2,3,4,2,2,1,4
79,2,10,980.a.655.b,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh0;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=5,22f244eceadf00b598275558cc0ac2c0,1584364527.39829,2108.591,New Anonymous Invitation,,6,13,10,26,16,1,20,23,22,29,3,19,11,2,8,12,17,25,27,31,14,5,30,24,28,18,15,32,9,4,21,7,,,,,,,
81,3,10,98.0a6.55.b,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;fbclid=IwAR0HlZ-rEZuffbiDWKrN5TZFOlNBB7l-BJ1c3UGLKtbjdcyQdyZLjP2svZc;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,b11a245466a0c961dd16516e57992329,1584364652.63842,1983.368,CSR_preferences,,29,12,32,11,21,4,30,3,14,15,26,23,20,8,13,25,10,9,22,24,28,17,18,27,19,7,16,1,6,5,31,2,,,,,,,
85,3,10,8.c.b61ad.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,dcd1ccfcc91ce6316ee837b31075d6b5,1584365488.38775,1916.866,CSR_preferences,,18,6,16,2,32,9,29,19,24,27,15,22,20,1,13,3,10,21,11,31,30,12,17,4,14,8,26,25,7,28,5,23,,,,,,,
84,3,10,e46.5.393.9,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,ba2d02a4cc531214150bdca519559c09,1584365435.52177,1969.747,CSR_preferences,,7,13,30,18,19,28,24,5,16,20,8,15,11,27,3,32,1,2,22,4,14,6,31,29,26,10,17,23,12,9,25,21,,,,,,,
87,3,7,ac8.4.f32.2,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,a3b8eea657f5b2a7daa7bf0a47e5c248,1584368487.88218,1021.918,CSR_preferences,,22,27,24,1,18,2,16,15,11,7,9,10,30,14,31,28,32,6,23,21,8,17,13,25,12,20,5,3,26,29,4,19,2,3,8,1,1,1,4
89,3,10,9fb.4.dd9.b,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,c1b8c31b2b0ffcb64057e2ab23c28b54,1584370674.33104,1886.194,CSR_preferences,,25,20,32,1,31,15,29,10,24,19,3,7,6,26,13,18,4,2,8,5,28,30,14,12,23,17,22,21,16,11,27,9,,,,,,,
88,3,10,9fb.4dd.9.b,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,acb83014f2d4e21fd67a3988a44ada57,1584370663.28119,1897.258,CSR_preferences,,24,30,1,3,15,18,26,25,12,2,4,6,20,29,8,22,32,11,17,10,5,14,21,31,28,13,23,19,27,9,16,7,,,,,,,
90,3,10,9.80a7c.7.4,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,17c2ed4ec9151d579faba46002dab989,1584371585.72525,2816.489,CSR_preferences,,8,13,31,22,24,4,7,6,21,10,28,27,25,3,20,30,9,23,12,32,5,18,1,15,16,26,11,14,19,29,2,17,,,,,,,
91,3,10,c4e.4f.71.3,https://de1.surveyengine.com/bin/play.pl?s=4no2dsphvd24v6u687uadr93kk8sn6k9105l1v41ht2ni37rkr4h3p285f8d1dgvmclimh8;client_id=ad77340_student_sgh_waw_pl;survey_name=CSR_preferences;c=4,f92edb77150770d0045c0ff2f6e16fc2,1584377891.90835,1978.288,CSR_preferences,,1,20,23,3,7,21,17,29,10,6,22,8,5,2,14,11,9,26,13,18,27,19,4,32,25,31,28,15,12,16,24,30,,,,,,,
